Trait ExternalTrait jf_p p_cor p_cor_se nonp_cor nonp_cor_se
ADHD Age_at_smoking_initiation 0.9108835665243925 -0.6327 0.0284 -0.6189 0.0362
ADHD CUD 0.028720390487707907 0.5914 0.044 0.4658 0.0508
ADHD Childhood_IQ 0.6508595693123641 -0.4097 0.0685 -0.4414 0.0821
ADHD EA4 0.5896455449208629 -0.5438 0.0169 -0.5596 0.0227
ADHD Menopause 0.659692133970365 -0.1676 0.0381 -0.1457 0.0499
ADHD Metabolic_Syndrome 0.7799203922405515 0.3276 0.0221 0.3362 0.0282
ADHD Risk_beh_composite 0.03279345179730862 0.3891 0.0247 0.3098 0.0339
ADHD Smoking_cessation 0.14963252981172678 0.4035 0.0273 0.3259 0.0363
ADHD Speeding_propensity 0.002168279747148452 -0.0643 0.0312 0.0836 0.0402
ADHD Tiredness 1.9290951570149076e-07 0.5148 0.0393 0.2249 0.0496
ADHD Waist_to_hip_ratio 0.4059340408798594 0.3064 0.0214 0.28 0.0279
ADHD backpain 0.003129728176962942 0.5091 0.0296 0.3631 0.0392
ADHD birth_weight 0.5423271889836556 -0.1176 0.0314 -0.1509 0.0448
ADHD chronotype 0.10640372418904907 0.008 0.0251 0.0703 0.0339
ADHD cigday 0.3944839569484879 0.4116 0.0338 0.3576 0.0434
ADHD drinkweek 0.1761476552208755 0.1438 0.0248 0.0813 0.035
ADHD environmentalstress 1.4535697838166498e-11 0.1767 0.0264 -0.1025 0.0326
ADHD ever_smoker 0.0012290098903027483 0.5871 0.0184 0.494 0.0282
ADHD executivefunctioning 0.0004577985401986337 -0.2303 0.0249 -0.0851 0.0328
ADHD externalizing 0.0007565870095339127 0.6495 0.0196 0.5248 0.0286
ADHD household_income 0.05552527872672082 -0.514 0.0263 -0.4156 0.0357
ADHD insomnia 0.001297267819874399 0.3981 0.0328 0.2379 0.0397
ADHD intelligence2 0.3484323451227309 -0.3869 0.0221 -0.3474 0.0299
ADHD internalizing 0.030539474579235518 0.5633 0.0989 0.2731 0.1162
ADHD lonelines 9.559138770582802e-10 0.4274 0.0269 0.154 0.0369
ADHD longevity 0.12485344446385896 -0.383 0.0338 -0.3159 0.0459
ADHD neighbourhood_deprivation 0.018902864029018383 0.653 0.0576 0.4605 0.0653
ADHD neurodegenerative 0.68033341385521 -0.0043 0.0401 -0.0265 0.0514
ADHD no_sexual_partners 0.0007135964391172526 0.4234 0.0234 0.2991 0.0347
ADHD noncog 0.5266203654348853 -0.3713 0.0245 -0.3395 0.0309
ADHD risk_tolerance 0.1383392895847584 0.351 0.028 0.2786 0.0404
ADHD selfrated_health 0.00018308026013407722 0.6178 0.0339 0.4146 0.046
ADHD sleepduration 0.8811654630122274 -0.1059 0.0299 -0.1004 0.0404
ADHD subjective_wellbeing 1.6370031666877465e-07 -0.3247 0.0401 0.0042 0.0515
ALCH Age_at_smoking_initiation 0.20721089713081908 -0.1396 0.0471 -0.0349 0.0568
ALCH CUD 0.0333593007470248 0.3598 0.0618 0.1566 0.0788
ALCH Childhood_IQ 0.5588004726758228 -0.0712 0.0866 0.0028 0.1069
ALCH EA4 0.18947424865360962 0.0426 0.0301 0.123 0.041
ALCH Menopause 0.3572079179601091 -0.1109 0.0613 -0.0328 0.0826
ALCH Metabolic_Syndrome 0.23152437596885278 0.0346 0.0345 -0.0372 0.0456
ALCH Risk_beh_composite 0.06667653571058356 0.6143 0.035 0.5049 0.0482
ALCH Smoking_cessation 0.02395563376858593 0.2842 0.0457 0.1453 0.0604
ALCH Speeding_propensity 0.045392780128575956 0.1497 0.0374 0.2775 0.0532
ALCH Tiredness 9.7961019267745e-05 0.3295 0.0643 -0.0371 0.0841
ALCH Waist_to_hip_ratio 0.05031276924380795 0.1193 0.0322 0.0206 0.042
ALCH backpain 0.005953661493822805 0.0858 0.0419 -0.1034 0.06
ALCH birth_weight 0.4899223597779674 3.7149e-05 0.0454 0.051 0.062
ALCH chronotype 0.8795957067525307 -0.0878 0.0381 -0.0938 0.0451
ALCH cigday 0.007084182463737985 0.1315 0.0452 -0.0301 0.0533
ALCH drinkweek 0.7270434918379174 0.7995 0.0401 0.7793 0.0522
ALCH environmentalstress 6.228074557410748e-05 0.2851 0.039 0.0436 0.0576
ALCH ever_smoker 0.010999304821385109 0.4094 0.0343 0.2777 0.0464
ALCH executivefunctioning 0.001634599203912114 -0.0424 0.0331 0.1405 0.048
ALCH externalizing 0.00034200497225270524 0.4533 0.0357 0.2538 0.0422
ALCH household_income 0.003292591137454469 -0.0237 0.0403 0.1601 0.0537
ALCH insomnia 0.003090954150773904 0.1674 0.0428 -0.0147 0.0567
ALCH intelligence2 0.02556089201353898 0.0446 0.0358 0.1827 0.0457
ALCH internalizing 0.050144130038528675 0.2272 0.1091 -0.1149 0.139
ALCH lonelines 2.0644559409952776e-05 0.2391 0.0452 -0.0517 0.0638
ALCH longevity 0.09973565951890724 -0.2606 0.0482 -0.1308 0.0671
ALCH neighbourhood_deprivation 0.027946485831694134 0.2812 0.0808 0.0108 0.095
ALCH neurodegenerative 0.810460966761211 0.0013 0.068 0.0398 0.0825
ALCH no_sexual_partners 0.0030082976442292967 0.4093 0.0331 0.2299 0.0475
ALCH noncog 0.0015808204204812591 0.0342 0.0347 0.1902 0.0429
ALCH risk_tolerance 0.058255310042262955 0.3261 0.0406 0.1968 0.0536
ALCH selfrated_health 0.0009463292742911807 0.256 0.0559 -0.0236 0.0703
ALCH sleepduration 0.7616743740127829 -0.0151 0.0429 0.0118 0.0561
ALCH subjective_wellbeing 0.0003874672864827036 -0.3229 0.0653 0.042 0.0836
ANX Age_at_smoking_initiation 2.8099608803181957e-07 -0.2344 0.0439 0.1722 0.0651
ANX CUD 9.007627729702267e-09 0.3877 0.0639 -0.2374 0.0946
ANX Childhood_IQ 0.25198387921160315 -0.2797 0.0874 -0.1163 0.1288
ANX EA4 0.33196553745439517 -0.2176 0.0279 -0.1554 0.0437
ANX Menopause 0.2951260404772946 -0.0954 0.0561 -0.0135 0.0734
ANX Metabolic_Syndrome 0.12762153317041952 0.1339 0.0337 0.0421 0.0469
ANX Risk_beh_composite 1.8859046292995465e-07 0.135 0.0354 -0.2572 0.0637
ANX Smoking_cessation 2.758742543073804e-05 0.2037 0.0399 -0.084 0.0608
ANX Speeding_propensity 0.08725683719180626 -0.2692 0.0382 -0.1372 0.0666
ANX Tiredness 1.9631432497372445e-11 0.6812 0.0547 0.0343 0.0806
ANX Waist_to_hip_ratio 0.02737980335643744 0.1842 0.0299 0.0584 0.0449
ANX backpain 2.392230802757322e-06 0.4819 0.0418 0.1061 0.0636
ANX birth_weight 0.1507456695539999 -0.0502 0.0466 0.0749 0.0718
ANX chronotype 0.15894845373693534 -0.0783 0.0327 0.0162 0.0591
ANX cigday 4.754178826011162e-06 0.1907 0.0402 -0.1165 0.0608
ANX drinkweek 0.00011513026559723666 0.0651 0.0355 -0.1867 0.0569
ANX environmentalstress 2.7555908724021833e-09 0.6123 0.0386 0.2032 0.0567
ANX ever_smoker 6.570254992553351e-14 0.3288 0.032 -0.1251 0.051
ANX executivefunctioning 2.823145409008504e-08 -0.2285 0.0324 0.1363 0.0562
ANX externalizing 2.5051382557983777e-18 0.3194 0.0359 -0.2345 0.0543
ANX household_income 1.0611809977436463e-05 -0.3487 0.0427 -0.014 0.0639
ANX insomnia 1.358194616944871e-09 0.364 0.0448 -0.0628 0.0586
ANX intelligence2 0.00014358808446903568 -0.1737 0.029 0.0508 0.0527
ANX internalizing 0.00044106057658631673 0.9154 0.129 0.1699 0.161
ANX lonelines 2.2617792024786153e-13 0.5729 0.0388 0.0741 0.0567
ANX longevity 0.003350668552467149 -0.2265 0.0505 0.0308 0.0774
ANX neighbourhood_deprivation 1.914612757839718e-06 0.4127 0.0741 -0.1785 0.1072
ANX neurodegenerative 0.7335114021498848 0.0247 0.0647 -0.0099 0.089
ANX no_sexual_partners 1.0985200973309813e-11 0.1933 0.0357 -0.2973 0.0617
ANX noncog 0.00023186863832720913 -0.1573 0.0315 0.0682 0.0562
ANX risk_tolerance 1.1470957988867154e-09 0.07 0.041 -0.3943 0.066
ANX selfrated_health 5.8007095003993885e-11 0.5822 0.0489 -0.0018 0.078
ANX sleepduration 0.2648060847510443 -0.121 0.0382 -0.2052 0.0624
ANX subjective_wellbeing 8.596557940931196e-10 -0.7014 0.0586 -0.1005 0.0842
AN Age_at_smoking_initiation 0.2149185180306834 0.1943 0.0395 0.2785 0.0472
AN CUD 0.17780471518945695 0.0171 0.0508 -0.0785 0.0578
AN Childhood_IQ 0.47598721541528 0.1496 0.0768 0.2112 0.086
AN EA4 0.07649454647549793 0.2455 0.0261 0.307 0.0306
AN Menopause 0.7941261345706253 0.0369 0.047 0.0668 0.0553
AN Metabolic_Syndrome 0.18099846055463564 -0.3431 0.0273 -0.3957 0.0304
AN Risk_beh_composite 0.09924761340850455 -0.0322 0.0328 -0.1148 0.0383
AN Smoking_cessation 0.1522829240268746 -0.1062 0.0339 -0.196 0.0397
AN Speeding_propensity 0.2719477453006911 -0.1365 0.0325 -0.0937 0.0381
AN Tiredness 0.002743217836143118 0.1101 0.0538 -0.1034 0.0589
AN Waist_to_hip_ratio 0.031761030082065454 -0.2515 0.0241 -0.3159 0.0285
AN backpain 0.02549609143547075 -0.1039 0.0382 -0.2103 0.0431
AN birth_weight 0.7270519038057941 0.0244 0.0418 0.0386 0.0474
AN chronotype 0.7963512024082191 0.0017 0.0284 0.017 0.0329
AN cigday 0.20298204654102026 -0.1121 0.0394 -0.203 0.0484
AN drinkweek 0.2230321411224736 0.0159 0.0304 -0.0502 0.0328
AN environmentalstress 0.004387001835923006 0.2685 0.0317 0.1513 0.0351
AN ever_smoker 0.0019310790953397088 -0.0331 0.0268 -0.1513 0.0322
AN executivefunctioning 0.10321676178028574 -0.1334 0.0349 -0.0571 0.0394
AN externalizing 0.001411125644923018 0.001 0.0301 -0.1249 0.0346
AN household_income 0.14257182241318483 0.1539 0.0366 0.2339 0.0412
AN insomnia 0.021180672125726222 0.0846 0.037 -0.0229 0.0395
AN intelligence2 0.35857304676479573 0.0911 0.0301 0.1395 0.034
AN internalizing 0.06944699832754338 0.0366 0.0888 -0.1708 0.0972
AN lonelines 0.02158660766717711 0.1193 0.0376 -0.0101 0.0435
AN longevity 0.2080594958232055 0.1301 0.0422 0.2127 0.0511
AN neighbourhood_deprivation 0.1312495695930499 -0.0684 0.0587 -0.2034 0.0711
AN neurodegenerative 0.9887657889630295 0.0969 0.0622 0.0875 0.0679
AN no_sexual_partners 0.04474160938026226 0.0471 0.0336 -0.0493 0.0399
AN noncog 0.28108199591638316 0.0818 0.0299 0.1411 0.0368
AN risk_tolerance 0.20810376144293108 -0.0037 0.0306 -0.0754 0.0369
AN selfrated_health 0.0006348775807667681 -0.083 0.0424 -0.2761 0.0482
AN sleepduration 0.8633312166606715 -0.1192 0.0332 -0.1308 0.0386
AN subjective_wellbeing 0.04528277719440688 -0.2282 0.0526 -0.0541 0.0595
ASD Age_at_smoking_initiation 0.2921509512696069 -0.0629 0.0464 0.0163 0.0544
ASD CUD 0.0 -0.1297 0.0672 -0.1297 0.0672
ASD Childhood_IQ 0.3909695031579825 0.2334 0.0739 0.3231 0.088
ASD EA4 0.020685598340173514 0.2093 0.0266 0.3013 0.0316
ASD Menopause 0.5858519606782291 -0.0149 0.0559 0.0277 0.0673
ASD Metabolic_Syndrome 0.5876201461289456 0.0513 0.0293 0.0249 0.0335
ASD Risk_beh_composite 0.0832487594398315 0.0405 0.0437 -0.0668 0.0528
ASD Smoking_cessation 0.0 -0.1942 0.0504 -0.1942 0.0504
ASD Speeding_propensity 0.2566224088052519 -0.0849 0.0441 0.0075 0.0576
ASD Tiredness 0.003392268419588028 0.3347 0.0567 0.0793 0.0642
ASD Waist_to_hip_ratio 0.4413737706817238 0.0368 0.0274 -0.0002 0.0322
ASD backpain 0.0 -0.1486 0.0491 -0.1486 0.0491
ASD birth_weight 0.6321586071038086 -0.0081 0.0442 0.0119 0.0558
ASD chronotype 0.9177772279015248 -0.1856 0.0362 -0.1741 0.0461
ASD cigday 0.162426594726774 0.1734 0.0363 0.0949 0.0436
ASD drinkweek 0.3296009567061793 -0.0037 0.0396 -0.057 0.0457
ASD environmentalstress 0.0021360472333490825 0.1864 0.0394 -0.002 0.0442
ASD ever_smoker 0.0 -0.0864 0.0401 -0.0864 0.0401
ASD executivefunctioning 0.018554460763885314 0.0243 0.0353 0.1554 0.0403
ASD externalizing 0.001385833676205587 0.1026 0.0411 -0.0814 0.0494
ASD household_income 0.04670329262914625 -0.0728 0.0437 0.0566 0.0489
ASD insomnia 0.0 -0.1023 0.0468 -0.1023 0.0468
ASD intelligence2 0.022546651873552977 0.2215 0.0312 0.3224 0.0345
ASD internalizing 0.21928801925765662 0.5046 0.1209 0.3005 0.1241
ASD lonelines 0.0013163884655686081 0.2622 0.0411 0.0502 0.0475
ASD longevity 0.15040044294565333 0.0206 0.0503 0.127 0.0638
ASD neighbourhood_deprivation 0.13969473380525935 0.2199 0.0747 0.0601 0.08
ASD neurodegenerative 0.9616822758993481 -0.0811 0.0633 -0.0681 0.073
ASD no_sexual_partners 0.022265866250854548 0.1668 0.0471 0.0135 0.0581
ASD noncog 0.017943462672446495 0.2039 0.0327 0.3113 0.0381
ASD risk_tolerance 0.07778233848521683 0.0163 0.0473 -0.1074 0.0583
ASD selfrated_health 0.005714745909208921 0.0817 0.0644 -0.1635 0.0672
ASD sleepduration 0.8158498281034332 -0.017 0.0475 0.0048 0.0619
ASD subjective_wellbeing 0.011903361936540253 -0.4905 0.0562 -0.2844 0.0666
BIP Age_at_smoking_initiation 0.0012426328309428848 -0.0831 0.0255 0.0614 0.0382
BIP CUD 0.0012744407440373122 0.2228 0.0383 0.013 0.0524
BIP Childhood_IQ 0.12721217368894802 0.0254 0.0549 0.1628 0.0784
BIP EA4 6.31056715501817e-07 0.1266 0.018 0.2819 0.0266
BIP Menopause 0.051843890682776485 -0.0076 0.0362 0.1022 0.0515
BIP Metabolic_Syndrome 0.04004351819155278 -0.035 0.0199 -0.1142 0.028
BIP Risk_beh_composite 0.022943633317051206 0.2255 0.0271 0.1238 0.0368
